SYMBOL,GeneID,Median(Tumor),Median(Normal),Log2FC,adjp
CEACAM5,ENSG00000105388,134.279,0.07,6.982,5.59E-53
CEACAM6,ENSG00000086548,518.14,1.59,7.647,4.58E-72
CEACAM7,ENSG00000007306,10.76,0.56,2.914,6.04E-28
CEBPB,ENSG00000172216,58.969,12.16,2.188,1.62E-41
CEBPG,ENSG00000153879,16.28,5,1.526,3.27E-49
CEBPZ,ENSG00000115816,28.769,10.4,1.385,1.8E-48
CEBPZOS,ENSG00000218739,22,7.53,1.431,4.5E-54
CECR1,ENSG00000093072,17.579,2.96,2.23,2.65E-34
CEL,ENSG00000170835,19.291,12250.049,-9.238,1.22E-47
CELA2A,ENSG00000142615,4.53,10247.61,-10.856,2.76E-44
CELA2B,ENSG00000215704,2,1188.23,-8.631,7.4E-41
CELA3A,ENSG00000142789,47.431,32225.161,-9.378,1.81E-41
CELA3B,ENSG00000219073,8.97,13424.678,-10.395,7.29E-49
CELF1,ENSG00000149187,25.149,11.76,1.035,2.21E-26
CELF2,ENSG00000048740,4.01,0.79,1.485,2.19E-29
CELP,ENSG00000170827,0.18,187.415,-7.319,4.84E-69
CELSR1,ENSG00000075275,10.59,0.49,2.96,5.6E-68
CELSR3,ENSG00000008300,2.72,0.64,1.182,2.9E-24
CEMIP,ENSG00000103888,9.75,0.33,3.015,4.57E-55
CENPA,ENSG00000115163,3.11,0.09,1.915,1.12E-59
CENPB,ENSG00000125817,47.3,14.54,1.636,8.36E-56
CENPBD1,ENSG00000177946,4.64,1.76,1.031,6.02E-20
CENPBD1P1,ENSG00000213753,18.25,8.03,1.092,3.73E-39
CENPE,ENSG00000138778,1.12,0.05,1.014,7.07E-54
CENPF,ENSG00000117724,10.69,0.13,3.371,5.54E-59
CENPH,ENSG00000153044,4.54,0.65,1.747,1.62E-74
CENPK,ENSG00000123219,4.08,0.26,2.011,6.87E-63
CENPL,ENSG00000120334,2.66,0.44,1.346,7.34E-71
CENPM,ENSG00000100162,8.82,0.26,2.962,5.22E-61
CENPN,ENSG00000166451,7.22,1.22,1.889,1.59E-64
CENPO,ENSG00000138092,3.66,0.77,1.397,5.76E-66
CENPU,ENSG00000151725,6.73,0.67,2.211,2.16E-63
CENPV,ENSG00000166582,22.7,10.06,1.1,5.8E-20
CENPW,ENSG00000203760,12.83,0.73,2.999,7.22E-78
CEP104,ENSG00000116198,12.42,5.68,1.006,3.95E-30
CEP126,ENSG00000110318,2.65,0.68,1.119,5.91E-37
CEP131,ENSG00000141577,8.52,3.33,1.137,8.56E-28
CEP170,ENSG00000143702,14.44,1.88,2.423,6.96E-65
CEP250,ENSG00000126001,10.24,3.93,1.189,4.46E-38
CEP350,ENSG00000135837,8.03,3.49,1.008,1.68E-37
CEP41,ENSG00000106477,6.51,1.73,1.46,3.35E-54
CEP55,ENSG00000138180,5.54,0.06,2.625,9.81E-72
CEP89,ENSG00000121289,9.9,2.7,1.559,4.45E-22
CEPT1,ENSG00000134255,16.28,6.99,1.113,1.04E-31
CERCAM,ENSG00000167123,53.94,9.42,2.398,7.34E-52
CERKL,ENSG00000188452,3.1,0.25,1.714,2.21E-54
CERS2,ENSG00000143418,133.444,50.45,1.386,3.52E-34
CERS4,ENSG00000090661,10.53,43.64,-1.953,4.46E-39
CERS5,ENSG00000139624,35.461,10,1.729,4.06E-56
CERS6,ENSG00000172292,12.12,1.56,2.358,1.68E-69
CERS6-AS1,ENSG00000227617,22.389,2.91,2.581,5.67E-55
CES1,ENSG00000198848,28.929,3.97,2.59,4.39E-31
CES2,ENSG00000172831,21.47,6.9,1.508,1.39E-39
CETN2,ENSG00000147400,45.781,8.5,2.3,8.19E-81
CETN3,ENSG00000153140,16.919,4.2,1.785,1.62E-65
CFAP20,ENSG00000070761,27.161,6.19,1.97,1.67E-75
CFAP36,ENSG00000163001,39.53,13.74,1.459,2.2E-55
CFAP97,ENSG00000164323,9.39,3.03,1.366,3.27E-42
CFB,ENSG00000243649,130.598,21.97,2.518,2.23E-24
CFDP1,ENSG00000153774,66.939,19.07,1.759,3.63E-58
CFH,ENSG00000000971,51.349,3.49,3.543,6.14E-62
CFI,ENSG00000205403,58.169,13.36,2.043,3.95E-29
CFL1,ENSG00000172757,1120.633,94.398,3.555,1.28E-79
CFLAR,ENSG00000003402,51.789,14.86,1.735,3.12E-36
CFP,ENSG00000126759,2.87,0.52,1.348,1.12E-28
CGB5,ENSG00000189052,3.74,0,2.245,8.67E-20
CGB8,ENSG00000213030,1.86,0,1.516,6.29E-21
CGGBP1,ENSG00000163320,24.18,10.89,1.082,3.15E-29
CGN,ENSG00000143375,39.129,18.64,1.031,7.36E-09
CGREF1,ENSG00000138028,7.55,0.71,2.322,6.03E-59
CGRRF1,ENSG00000100532,11.78,5.2,1.044,7.36E-40
CH17-13I23.3,ENSG00000277702,3.85,0.8,1.43,1.96E-30
CH17-340M24.3,ENSG00000197180,8.66,2.07,1.654,8.51E-58
CH17-360D5.2,ENSG00000276850,5.41,0.03,2.638,2.83E-53
CH17-360D5.3,ENSG00000273760,1.85,0,1.511,1.07E-34
CH25H,ENSG00000138135,3.77,0.34,1.832,4.18E-40
CH507-152C13.1,ENSG00000275895,63.451,18.57,1.72,3.29E-56
CH507-338C24.1,ENSG00000277991,0.17,1.48,-1.084,1.33E-12
CH507-42P11.8,ENSG00000275993,18.301,7.03,1.265,1.1E-07
CH507-513H4.1,ENSG00000278996,2.92,0.39,1.496,1.79E-59
CH507-513H4.5,ENSG00000281383,3.5,0.43,1.654,4.15E-32
CH507-528H12.1,ENSG00000280441,2.92,0.39,1.496,1.79E-59
CH507-9B2.3,ENSG00000280071,47.038,21.201,1.114,5.16E-23
CH507-9B2.5,ENSG00000275464,9.37,3.51,1.201,5.71E-24
CH507-9B2.9,ENSG00000280433,5.84,2.23,1.082,1.05E-37
CHAD,ENSG00000136457,0.6,8.93,-2.634,2.74E-60
CHAF1A,ENSG00000167670,6.38,1.79,1.403,6.43E-51
CHCHD1,ENSG00000172586,46.202,11.44,1.924,1.76E-71
CHCHD10,ENSG00000250479,119.701,43.03,1.455,1.85E-32
CHCHD2,ENSG00000106153,291.529,114.777,1.337,5.05E-30
CHCHD3,ENSG00000106554,33.929,8.37,1.898,1.75E-71
CHCHD4,ENSG00000163528,9.07,3.69,1.102,1.38E-52
CHCHD6,ENSG00000159685,14.54,4.96,1.383,2.56E-58
CHCHD7,ENSG00000170791,28.34,11.84,1.192,3.05E-40
CHD1L,ENSG00000131778,17.289,5.8,1.427,2.23E-47
CHD3,ENSG00000170004,53.131,25.93,1.007,5.66E-20
CHD4,ENSG00000111642,93.098,27.611,1.718,2.14E-55
CHD8,ENSG00000100888,26.661,7.7,1.669,3.75E-64
CHD9,ENSG00000177200,9.29,3.67,1.14,5.37E-43
CHEK1,ENSG00000149554,4.41,0.83,1.564,1.48E-60
CHEK2,ENSG00000183765,6.66,1.37,1.692,2.45E-53
CHGB,ENSG00000089199,39.42,12.57,1.575,1.34E-08
CHI3L1,ENSG00000133048,16.04,4.93,1.523,4.8E-08
CHI3L2,ENSG00000064886,2.18,0.22,1.382,6.67E-28
CHIC1,ENSG00000204116,2.73,0.84,1.019,7.13E-44
CHIC2,ENSG00000109220,19.95,3.67,2.165,1.71E-78
CHIT1,ENSG00000133063,5.46,0.13,2.515,3.92E-26
CHM,ENSG00000188419,6.91,2.18,1.315,5.91E-61
CHML,ENSG00000203668,2.44,0.65,1.06,1.35E-39
CHMP1A,ENSG00000131165,72.138,17.629,1.973,1.61E-60
CHMP1B,ENSG00000255112,32.61,6.37,2.189,4.04E-76
CHMP2A,ENSG00000130724,191.035,47.33,1.99,1.45E-61
CHMP2B,ENSG00000083937,33.651,10.08,1.645,2.27E-48
CHMP3,ENSG00000115561,75.499,32.96,1.172,1.68E-36
CHMP4A,ENSG00000254505,75.583,27.549,1.424,1.15E-39
CHMP4B,ENSG00000101421,174.03,30.399,2.479,5.79E-75
CHMP4C,ENSG00000164695,16.82,7.3,1.102,6.55E-18
CHMP5,ENSG00000086065,62.469,12.85,2.196,2.72E-68
CHMP6,ENSG00000176108,19.03,7.28,1.275,1.05E-45
CHMP7,ENSG00000147457,23.15,7.54,1.5,8.41E-56
CHN1,ENSG00000128656,10.87,1.42,2.294,8.98E-57
CHORDC1,ENSG00000110172,13.85,5.5,1.192,6.39E-31
CHP1,ENSG00000187446,55.322,15.04,1.812,8.65E-50
CHPF,ENSG00000123989,100.74,46.6,1.096,7.79E-22
CHPF2,ENSG00000033100,32.26,9.44,1.672,3.01E-65
CHPT1,ENSG00000111666,29.66,9.13,1.598,1.03E-29
CHRAC1,ENSG00000104472,20.559,5.56,1.717,4.25E-60
CHRD,ENSG00000090539,4.34,12.17,-1.302,2.91E-20
CHRDL2,ENSG00000054938,2.9,0.71,1.19,3.28E-14
CHRM3,ENSG00000133019,0.89,3.49,-1.248,3.06E-34
CHRNA5,ENSG00000169684,4.29,0.64,1.69,3.51E-44
CHST1,ENSG00000175264,3.89,0.5,1.705,8.51E-45
CHST10,ENSG00000115526,4.13,1.52,1.026,2.09E-32
CHST11,ENSG00000171310,11.08,1.24,2.431,2.52E-48
CHST12,ENSG00000136213,10.12,4.54,1.005,2.64E-37
CHST14,ENSG00000169105,17.12,3,2.18,8.11E-76
CHST15,ENSG00000182022,11.94,3.41,1.553,1.71E-33
CHST2,ENSG00000175040,2.05,0.43,1.093,8.67E-39
CHST3,ENSG00000122863,6.07,1.54,1.477,1.07E-35
CHST4,ENSG00000140835,10.51,1.74,2.071,5.59E-20
CHSY1,ENSG00000131873,15.54,2.05,2.439,7.35E-66
CHSY3,ENSG00000198108,1.64,0.11,1.25,3.51E-46
CHTF18,ENSG00000127586,7.71,3.29,1.022,1.35E-12
CHTF8,ENSG00000168802,58.899,19.86,1.522,1.9E-54
CHUK,ENSG00000213341,8.63,3.65,1.05,1.99E-44
CHURC1,ENSG00000258289,39.711,11.48,1.706,9.44E-57
CIAPIN1,ENSG00000005194,29.79,9.99,1.486,2.15E-30
CIART,ENSG00000159208,5.52,1.43,1.424,2.52E-35
CIB1,ENSG00000185043,166.767,79.721,1.055,4.42E-19
CIB2,ENSG00000136425,5.97,2.2,1.123,1.56E-33
CIDEC,ENSG00000187288,5.06,0.49,2.024,1.74E-20
CIDECP,ENSG00000186162,10.33,2.78,1.584,5.16E-66
CIITA,ENSG00000179583,7.1,0.88,2.107,1.54E-35
CILP,ENSG00000138615,4.23,0.95,1.423,4.09E-18
CILP2,ENSG00000160161,2.53,0.02,1.791,4.24E-46
CIPC,ENSG00000198894,7.7,2.88,1.165,1.33E-42
CIR1,ENSG00000138433,26.051,10.6,1.222,3.54E-42
CIRH1A,ENSG00000141076,20.51,9.69,1.009,1.81E-30
CISD1,ENSG00000122873,27.789,6.99,1.849,4.29E-73
CISD2,ENSG00000145354,20.52,7.36,1.364,2.77E-55
CIT,ENSG00000122966,2.38,0.37,1.303,8.61E-41
CKAP2,ENSG00000136108,5.71,0.59,2.077,3.6E-74
CKAP2L,ENSG00000169607,1.58,0.03,1.325,7.44E-51
CKAP4,ENSG00000136026,51.538,13.75,1.833,8.8E-60
CKAP5,ENSG00000175216,24.11,5.91,1.861,4E-60
CKB,ENSG00000166165,104.162,36.471,1.489,5.52E-25
CKLF,ENSG00000217555,91.113,7.03,3.52,4.7E-89
CKLF-CMTM1,ENSG00000254788,2.93,0.28,1.618,2.82E-58
CKM,ENSG00000104879,0.11,1.42,-1.124,9.98E-21
CKMT1A,ENSG00000223572,19.99,1.7,2.959,5.27E-55
CKMT1B,ENSG00000237289,20.06,1.58,3.029,1.35E-56
CKS1B,ENSG00000173207,71.848,8.32,2.966,1.27E-74
CKS1BP3,ENSG00000268942,5.69,0,2.742,6.33E-63
CKS2,ENSG00000123975,38.569,1.47,4.002,1.56E-91
CLCF1,ENSG00000175505,11.9,2.19,2.016,6.06E-38
CLCN3,ENSG00000109572,23.789,8.19,1.432,2.53E-44
CLCN4,ENSG00000073464,2.15,0.31,1.266,6.48E-55
CLCNKA,ENSG00000186510,0.23,1.76,-1.166,1.25E-40
CLDN1,ENSG00000163347,44.699,10.59,1.979,5.41E-22
CLDN11,ENSG00000013297,7.1,0.48,2.452,1.63E-52
CLDN12,ENSG00000157224,24.271,7.12,1.638,9.94E-44
CLDN15,ENSG00000106404,7.75,3.3,1.025,2.27E-15
CLDN18,ENSG00000066405,60.429,0.12,5.777,1.05E-34
CLDN2,ENSG00000165376,39.829,2.29,3.633,2.4E-27
CLDN23,ENSG00000253958,10.29,1.32,2.283,1.23E-40
CLDN4,ENSG00000189143,279.75,41.671,2.718,2.59E-34
CLDN5,ENSG00000184113,19.83,5.05,1.784,1.63E-20
CLDN7,ENSG00000181885,133.379,41.32,1.667,3.45E-26
CLDND1,ENSG00000080822,40.5,13.69,1.498,2.03E-42
CLEC10A,ENSG00000132514,3.11,0.39,1.564,3.34E-28
CLEC11A,ENSG00000105472,26.099,2.47,2.965,2.41E-65
CLEC12A,ENSG00000172322,1.63,0.2,1.132,1.82E-18
CLEC14A,ENSG00000176435,11.78,2.77,1.761,5.91E-46
CLEC16A,ENSG00000038532,9.93,2.99,1.454,5.06E-50
CLEC2B,ENSG00000110852,10.32,0.97,2.523,1.69E-53
CLEC2D,ENSG00000069493,4.52,1.48,1.154,4.86E-23
CLEC3B,ENSG00000163815,12.17,4.17,1.349,2.47E-21
CLEC4A,ENSG00000111729,4.68,0.95,1.542,1.81E-38
CLEC4E,ENSG00000166523,3.11,0.44,1.513,5.44E-21
CLEC5A,ENSG00000258227,2.88,0.47,1.4,3.8E-26
CLEC7A,ENSG00000172243,6.41,1.11,1.812,1.98E-15
CLIC1,ENSG00000213719,596.632,55.422,3.405,4.22E-74
CLIC2,ENSG00000155962,6.49,1.01,1.898,1.25E-39
CLIC3,ENSG00000169583,24.421,0.3,4.289,1.26E-53
CLIC4,ENSG00000169504,49.428,9.56,2.256,5.15E-44
CLIC5,ENSG00000112782,2.99,0.4,1.511,6.16E-37
CLIC6,ENSG00000159212,5.07,1.04,1.573,3.79E-32
CLINT1,ENSG00000113282,57.241,19.91,1.478,2.99E-36
CLIP1,ENSG00000130779,18.181,7.81,1.122,2.39E-33
CLIP2,ENSG00000106665,18.491,6.81,1.319,3.52E-49
CLIP3,ENSG00000105270,9.21,1.23,2.195,1.83E-53
CLIP4,ENSG00000115295,9.81,2.89,1.475,3.87E-37
CLK3,ENSG00000179335,43.961,17.34,1.294,2.36E-35
CLMP,ENSG00000166250,5.24,0.7,1.876,4.9E-33
CLN5,ENSG00000102805,18.371,7.22,1.237,1.36E-49
CLN6,ENSG00000128973,25.91,8.8,1.457,6.91E-53
CLN8,ENSG00000182372,7.37,3.13,1.019,3.42E-38
CLNS1A,ENSG00000074201,79.148,38.991,1.003,5.81E-28
CLOCK,ENSG00000134852,5.8,1.8,1.28,8.58E-55
CLP1,ENSG00000172409,8.38,2.76,1.319,7.22E-56
CLPP,ENSG00000125656,56.39,21.88,1.327,1.12E-44
CLPS,ENSG00000137392,20.97,38160.699,-10.762,1.46E-48
CLPSL1,ENSG00000204140,0.11,44.6,-5.36,2.08E-25
CLPSL2,ENSG00000196748,0.11,1.79,-1.33,1.04E-38
CLPTM1,ENSG00000104853,73.94,30.999,1.228,4.2E-37
CLPTM1L,ENSG00000049656,108.993,47.712,1.175,5.48E-38
CLRN3,ENSG00000180745,8.07,0.05,3.111,6.06E-48
CLSTN1,ENSG00000171603,97.321,29.1,1.708,1.21E-55
CLSTN3,ENSG00000139182,24.14,6.93,1.665,1.78E-42
CLTA,ENSG00000122705,164.859,64.78,1.334,1.19E-36
CLTB,ENSG00000175416,208.976,26.29,2.944,1.91E-68
CLTC,ENSG00000141367,115.824,23.94,2.228,2.05E-75
CLUAP1,ENSG00000103351,15.99,4.94,1.516,1.17E-60
CMAHP,ENSG00000168405,9.21,2.55,1.524,4.83E-24
CMAS,ENSG00000111726,27.331,11.48,1.183,2.74E-38
CMB9-94B1.2,ENSG00000276505,0.49,3.89,-1.714,1.8E-42
CMBL,ENSG00000164237,24.401,6.3,1.799,1.55E-49
CMC1,ENSG00000187118,28.709,11.72,1.224,1.69E-43
CMC2,ENSG00000103121,54.209,16.919,1.623,9.41E-61
CMIP,ENSG00000153815,39.069,5.83,2.553,2.28E-67
CMKLR1,ENSG00000174600,3.31,0.91,1.174,6.73E-22
CMPK1,ENSG00000162368,95.649,26.051,1.837,9.68E-51
CMPK2,ENSG00000134326,5.5,1.42,1.425,8.33E-30
CMTM1,ENSG00000089505,2.08,0.19,1.372,1.45E-53
CMTM3,ENSG00000140931,56.759,2.42,4.078,8.85E-75
CMTM6,ENSG00000091317,43.17,6.12,2.633,1.23E-74
CMTM7,ENSG00000153551,50.07,8.25,2.465,4.02E-47
CMTR2,ENSG00000180917,8.13,3.55,1.005,7.89E-31
CNDP2,ENSG00000133313,102.018,39.461,1.348,8.92E-35
CNFN,ENSG00000105427,2.93,0.83,1.103,4.73E-19
CNIH1,ENSG00000100528,81.007,18.15,2.098,2.02E-68
CNIH4,ENSG00000143771,42.25,7.45,2.356,1.97E-69
CNN1,ENSG00000130176,28.689,2.22,3.205,3.7E-41
CNN2,ENSG00000064666,131.433,26.779,2.253,2.61E-37
CNN3,ENSG00000117519,94.431,27.05,1.766,2.31E-32
CNNM4,ENSG00000158158,9,2.67,1.446,1.03E-41
CNOT1,ENSG00000125107,95.649,35.971,1.386,1.6E-47
CNOT10,ENSG00000182973,15.8,6.99,1.072,1.1E-39
CNOT11,ENSG00000158435,28.249,12.67,1.097,1.68E-33
CNOT2,ENSG00000111596,27.45,11.11,1.232,1.91E-42
CNOT4,ENSG00000080802,7.46,2.69,1.197,2.96E-58
CNOT6,ENSG00000113300,7.55,1.98,1.521,7.09E-63
CNOT6L,ENSG00000138767,7.14,2.72,1.13,1.36E-36
CNOT7,ENSG00000198791,25.029,11.11,1.104,3.54E-33
CNOT8,ENSG00000155508,31.97,8.38,1.814,3.16E-63
CNP,ENSG00000173786,49.48,11.34,2.032,5.84E-74
CNPPD1,ENSG00000115649,49.23,20.659,1.214,1.03E-33
CNPY2,ENSG00000257727,124.43,55.26,1.157,7.38E-38
CNPY4,ENSG00000166997,14.96,1.94,2.441,5.05E-76
CNRIP1,ENSG00000119865,8.56,1.49,1.941,2.69E-47
CNST,ENSG00000162852,6.16,2.28,1.126,2.75E-45
CNTN1,ENSG00000018236,5.76,0.57,2.106,1.16E-41
COA4,ENSG00000181924,58.44,18.5,1.608,2.22E-55
COA5,ENSG00000183513,25.27,12.1,1.004,1.5E-30
COA6,ENSG00000168275,32.421,6.83,2.094,1.23E-76
COA7,ENSG00000162377,5.96,2.12,1.158,7.23E-51
COCH,ENSG00000100473,1.47,9.69,-2.114,7.84E-24
COG2,ENSG00000135775,14.82,6.31,1.114,2.73E-41
COG4,ENSG00000103051,33.109,8.71,1.813,9.35E-60
COG7,ENSG00000168434,17.3,6.78,1.234,6.45E-35
COIL,ENSG00000121058,7.51,3.2,1.019,1.29E-50
COL10A1,ENSG00000123500,78.569,0.07,6.217,3.5E-71
COL11A1,ENSG00000060718,30.6,0.13,4.806,6.14E-54
COL12A1,ENSG00000111799,52.189,1.94,4.177,8.34E-65
COL13A1,ENSG00000197467,4.06,0.63,1.634,6.55E-49
COL14A1,ENSG00000187955,25.91,1.56,3.394,5.57E-53
COL15A1,ENSG00000204291,30.879,5.37,2.323,1.41E-39
COL16A1,ENSG00000084636,62.081,4.77,3.451,1.57E-61
COL17A1,ENSG00000065618,62.141,0.08,5.869,4.97E-57
COL18A1,ENSG00000182871,108.277,38.521,1.467,1.13E-21
COL1A1,ENSG00000108821,1201.648,12.61,6.465,1.71E-77
COL1A2,ENSG00000164692,1166.361,18.25,5.922,2.74E-77
COL22A1,ENSG00000169436,4.49,0.1,2.319,6.79E-46
COL28A1,ENSG00000215018,0.8,3.73,-1.394,7.06E-17
COL3A1,ENSG00000168542,1103.062,13.04,6.297,9.29E-78
COL4A1,ENSG00000187498,129.624,9.91,3.582,5.27E-64
COL4A2,ENSG00000134871,163.516,13.06,3.549,1.04E-66
COL4A3BP,ENSG00000113163,11.56,3.96,1.34,3.31E-47
COL4A5,ENSG00000188153,3.04,0.61,1.327,4.51E-34
COL5A1,ENSG00000130635,115.936,2.59,5.026,1.56E-74
COL5A2,ENSG00000204262,71.61,1.71,4.744,6.94E-77
COL5A3,ENSG00000080573,6.03,1.92,1.268,1.25E-21
COL6A1,ENSG00000142156,179.955,35.779,2.299,8.52E-36
COL6A2,ENSG00000142173,277.798,30.049,3.167,8.45E-51
COL6A3,ENSG00000163359,188.118,12.97,3.759,1E-44
COL7A1,ENSG00000114270,19.26,0.83,3.469,2.34E-49
COL8A1,ENSG00000144810,25.989,0.34,4.332,3.26E-68
COL8A2,ENSG00000171812,9.66,0.25,3.092,8.74E-62
COL9A2,ENSG00000049089,7.89,0.9,2.226,3.22E-42
COLCA1,ENSG00000196167,4.85,1.3,1.347,1.61E-30
COLCA2,ENSG00000214290,7.99,2.6,1.32,4.71E-23
COLEC11,ENSG00000118004,12.58,5.13,1.148,1.31E-11
COLEC12,ENSG00000158270,4.35,0.58,1.76,9.96E-36
COLGALT1,ENSG00000130309,50.509,11.31,2.065,2.67E-51
COMMD1,ENSG00000173163,40.791,10.66,1.842,4.36E-73
COMMD2,ENSG00000114744,12.28,4.38,1.304,2.23E-45
COMMD4,ENSG00000140365,84.729,20.75,1.979,1.13E-64
COMMD5,ENSG00000170619,26.259,6.6,1.843,3.22E-72
COMMD6,ENSG00000188243,214.866,53.899,1.975,1.78E-56
COMMD7,ENSG00000149600,52.61,15.13,1.733,1.7E-64
COMMD8,ENSG00000169019,10.93,3.47,1.416,1.55E-54
COMMD9,ENSG00000110442,51.399,15.24,1.69,1.64E-59
COMP,ENSG00000105664,69.888,0.75,5.34,6.25E-64
COMT,ENSG00000093010,144.867,33.481,2.081,2.07E-57
COMTD1,ENSG00000165644,29.421,65.612,-1.131,5.84E-21
COPA,ENSG00000122218,59.128,19.84,1.529,1.06E-49
COPB1,ENSG00000129083,55.749,23.94,1.186,3.5E-42
COPE,ENSG00000105669,147.737,60.392,1.277,2.31E-35
COPG1,ENSG00000181789,144.998,61.371,1.227,5.4E-36
COPG2,ENSG00000158623,13.27,3.64,1.621,3.36E-38
COPRS,ENSG00000172301,40.649,15.65,1.323,2.66E-48
COPS2,ENSG00000166200,30.271,13.1,1.149,8.43E-30
COPS4,ENSG00000138663,22.04,8.7,1.248,1.55E-51
COPS5,ENSG00000121022,41.46,18.24,1.142,2.69E-35
COPS6,ENSG00000168090,101.033,29.881,1.724,1.91E-62
COPS7A,ENSG00000111652,54.53,17.421,1.592,2.45E-55
COPS8,ENSG00000198612,39.871,8.03,2.178,2.01E-68
COPZ2,ENSG00000005243,31.71,7.45,1.953,4.79E-42
COQ10B,ENSG00000115520,18.911,4.47,1.864,1.32E-70
COQ2,ENSG00000173085,7.16,1.99,1.448,3.59E-63
COQ5,ENSG00000110871,18.71,8.06,1.121,7.64E-46
COQ6,ENSG00000119723,15.26,6.39,1.138,1.86E-40
COQ7,ENSG00000167186,10.45,3.73,1.275,5.13E-57
CORIN,ENSG00000145244,2.53,0.16,1.606,1.1E-42
CORO1A,ENSG00000102879,33.55,3.72,2.872,1.62E-44
CORO1B,ENSG00000172725,87.099,25.321,1.743,2.6E-47
CORO1C,ENSG00000110880,38.66,5.31,2.652,4.35E-67
CORO2A,ENSG00000106789,12.61,0.12,3.603,1.42E-82
CORO7,ENSG00000262246,22.15,6.54,1.618,1.88E-43
COTL1,ENSG00000103187,161.892,9.41,3.968,3.02E-82
COX14,ENSG00000178449,64.879,18.939,1.724,1.67E-57
COX15,ENSG00000014919,16.61,6.97,1.144,3.36E-40
COX16,ENSG00000133983,50.45,18.45,1.403,1.05E-53
COX17,ENSG00000138495,80.918,22.49,1.802,1.95E-63
COX20,ENSG00000203667,37.239,12.62,1.489,2.29E-45
COX4I1,ENSG00000131143,633.806,193.42,1.707,8.9E-43
COX4I2,ENSG00000131055,4.34,0.95,1.453,5.31E-42
COX5B,ENSG00000135940,179.656,64.23,1.47,3.6E-37
COX6A1,ENSG00000111775,399.346,119.411,1.733,7.13E-47
COX6B1,ENSG00000126267,346.785,80.37,2.096,1.97E-60
COX6B2,ENSG00000160471,3.69,0.09,2.105,1.9E-31
COX6C,ENSG00000164919,283.223,82.292,1.771,7.69E-50
COX7A1,ENSG00000161281,52.138,10.15,2.253,3E-46
COX7A2,ENSG00000112695,280.507,65.018,2.092,4.82E-62
COX7A2L,ENSG00000115944,96.448,32.09,1.558,1.47E-52
COX7B,ENSG00000131174,121.237,21.67,2.431,1.22E-76
COX7C,ENSG00000127184,670.037,239.286,1.482,1.13E-37
COX7CP1,ENSG00000235957,0,1.89,-1.531,3.86E-16
COX8A,ENSG00000176340,358.939,100.321,1.829,3.94E-48
CP,ENSG00000047457,21.591,1.23,3.341,3.77E-25
CPA1,ENSG00000091704,28.45,34590.781,-10.198,4.04E-44
CPA2,ENSG00000158516,11.04,6821.625,-9.146,1.95E-45
CPA3,ENSG00000163751,11.64,3.48,1.496,7.86E-23
CPA4,ENSG00000128510,0.39,6.09,-2.351,1.89E-50
CPB1,ENSG00000153002,40.419,15875.34,-8.582,1.35E-36
CPD,ENSG00000108582,22.32,4.43,2.103,6.89E-69
CPE,ENSG00000109472,74.972,20.49,1.822,1.63E-26
CPEB2,ENSG00000137449,4.6,1.75,1.026,3.96E-31
CPED1,ENSG00000106034,4.33,0.42,1.908,6.34E-40
CPM,ENSG00000135678,10.62,2.27,1.829,2.32E-36
CPNE1,ENSG00000214078,127.071,45.6,1.459,1.73E-30
CPNE2,ENSG00000140848,23.769,5.06,2.031,1.68E-55
CPNE3,ENSG00000085719,22.42,8.93,1.238,6.06E-37
CPNE5,ENSG00000124772,3.13,0.25,1.724,5.63E-43
CPNE7,ENSG00000178773,5.43,0.54,2.062,3.12E-40
CPNE8,ENSG00000139117,6.16,1.45,1.547,2.45E-45
CPOX,ENSG00000080819,9,3.54,1.139,2.2E-38
CPPED1,ENSG00000103381,8.69,1.14,2.179,8.9E-71
CPQ,ENSG00000104324,30.939,9.69,1.579,3.9E-43
CPSF2,ENSG00000165934,14.77,3.99,1.66,5.3E-52
CPSF3,ENSG00000119203,18.56,5.12,1.676,1.33E-66
CPSF6,ENSG00000111605,22.15,9.21,1.181,4.58E-41
CPT1A,ENSG00000110090,18.04,7.26,1.205,8.98E-33
CPT1C,ENSG00000169169,8.26,1.21,2.067,3.58E-48
CPTP,ENSG00000224051,17.14,6.92,1.196,1.2E-28
CPVL,ENSG00000106066,31.89,2.51,3.228,2.97E-53
CPXM1,ENSG00000088882,17.19,0.76,3.37,3.38E-55
CPXM2,ENSG00000121898,11.19,0.94,2.652,6.96E-51
CPZ,ENSG00000109625,16.979,0.39,3.693,4.65E-76
CRABP2,ENSG00000143320,50.369,0.87,4.78,7.49E-63
CRACR2B,ENSG00000177685,40.861,119.46,-1.525,1.02E-21
CRCP,ENSG00000241258,16.44,6.14,1.288,2.11E-45
CREB1,ENSG00000118260,9.58,3.21,1.329,2.31E-41
CREB3,ENSG00000107175,40.029,14.92,1.366,2.68E-39
CREB3L1,ENSG00000157613,64.11,27.57,1.188,1.26E-07
CREB3L2,ENSG00000182158,16.34,5.83,1.344,1.87E-45
CREBL2,ENSG00000111269,21.651,6.33,1.628,2.21E-55
CREG1,ENSG00000143162,67.822,25.91,1.355,1.49E-38
CREG2,ENSG00000175874,2.2,0.04,1.622,5.64E-46
CRELD1,ENSG00000163703,29.811,13.51,1.086,7.45E-20
CREM,ENSG00000095794,24.15,7.67,1.536,1.39E-42
CRIM1,ENSG00000150938,19.99,3.68,2.165,8.47E-56
